id;id_loai_hop_dong;id_don_vi;chieu_dai;tien_to;phuong_thuc_thanh_toan;thong_tin_them;gia_tri;hien_thi;trang_thai
1;21590;24316;10219;if voluntarily;misguided furthermore yowza;dangerous;28509;courageously hm consequently;19237
2;3789;7913;25935;likewise;delirious phooey;animated;24911;to practical;21382
3;30946;20473;1688;absent gosh browbeat;jaggedly flog;under;16635;muddy slippery;24532
4;23911;24975;8324;hm ack brightly;eek melodic woot;striking oof psst;22669;fend average oh;17039
5;29305;15758;613;dirt attain incredible;gadzooks yahoo;exhaust pro;18274;call lot triumphantly;17521
6;22207;5531;29408;indeed as;sympathetically;why ouch dearly;30141;delivery ack yahoo;30960
7;2395;28422;16681;meanwhile;perfect all gosh;collectivisation;27006;mechanically although;28322
8;29433;21568;4295;zowie;pish yum;across diagnosis;3716;hence;624
9;31422;16028;15264;exhausted whereas supposing;wide;joshingly noisily;21413;official;15919
10;14560;7354;7640;yippee tune-up;men;sedately;9302;incidentally besides;31190
