id;id_loai_hd;dien_giai;id_vai_tro_1;id_vai_tro_2;file_hop_dong;src_hop_dong;dieu_khoan;id_don_vi;trang_thai;ngay_thao_tac;nguoi_thao_tac;src_loi_chung;id_nhom;file_loi_chung;chuyen_tai_san;loai_sua_doi;loai_huy_bo;trang_thai_duyet;id_phan_loai_hop_dong;src_cv;src_tb;src_ttpc;id_vai_tro_3
1;17456;phooey uh-huh bite;17922;23472;owlishly ack;truly huzzah if;instant;27797;12441;2024-07-25;29969;reinforce;14125;circa same;22198;21923;16643;11010;14790;even;but;while initialize;3116
2;20918;menacing;11558;10215;yum;upright woozy;magnificent anxious sneak;12381;29501;2024-07-24;31881;whether;22264;incidentally;15902;25574;27269;11164;31520;disability oof shakily;sherbet cache;amid;10969
3;21953;forenenst even yahoo;13607;31216;ick;endow while among;that hm message;8020;7282;2024-07-25;25552;frown gate;8113;continually;18033;2214;10305;7593;20702;since ugh zowie;while;debar;14292
4;3054;barring;30529;27883;deeply accent;until hence;true wastebasket;3439;7222;2024-07-24;16831;feisty yippee;4683;triumphantly;5290;1435;6899;15009;759;than adviser what;daintily;strident but harmonica;26960
5;32433;puzzling royal;10620;9671;triangular bah;cutlet;hmph eek fondly;28617;1742;2024-07-24;1940;elementary descendant;23762;bah which;32578;7813;28991;9637;9491;instead now;wholly following even;miniaturize;31098
6;31346;stiletto text;25276;13460;merit stress gadzooks;oh boohoo;overestimate gladiolus mmm;14801;15312;2024-07-24;1312;rock tenderly;24897;hook;30586;12079;10902;27707;6772;provided several;curtsy aboard;prestigious;16413
7;5001;hairy contend vitrify;19898;15871;lady rebrand recharge;beloved dimly;commonly sniveling;21309;10137;2024-07-24;14807;sauerkraut matter pasture;28545;though out why;19472;5826;14569;20642;15635;duh resettle;er satisfied;indeed phooey curl;6715
8;11613;quarterly;3379;30474;immediately successfully;geez chomp sunday;gosh lawsuit;5209;12260;2024-07-24;26414;suspiciously at interestingly;27359;mystery;32191;12236;4127;2622;19487;frank;excitedly meanwhile;innocence that cleanse;12695
9;28784;female speedily;10374;15367;what qua self-control;insecure stable;however;4598;6093;2024-07-24;19752;present;3340;willfully;14015;42;12342;11930;31374;ration;thoughtful link nest;bunkhouse ah provided;14854
10;13844;nor brr;8927;27339;sterilize;arrogate pace frayed;club beyond why;27565;31655;2024-07-24;3309;across;31985;yowza;19012;13279;13860;19247;30807;although in fooey;remorseful ha;gloom except upright;14295
