id;id_loai_hd;dien_giai;id_vai_tro_1;id_vai_tro_2;file_hop_dong;src_hop_dong;dieu_khoan;id_don_vi;trang_thai;ngay_thao_tac;nguoi_thao_tac;src_loi_chung;id_nhom;file_loi_chung;chuyen_tai_san;loai_sua_doi;loai_huy_bo;trang_thai_duyet;id_phan_loai_hop_dong;src_cv;src_tb;src_ttpc;dg_ten;nhom_ten;id_vai_tro_3
1;4760;till hm;29258;4952;clearly wherever including;scarily vacillate;innocently;32370;29559;2024-07-24;8593;quarrelsomely;23455;refer portion;9855;3563;4610;4321;14211;till;hmph gosh;till beautiful;yuck within;5132;23140
2;19501;upwardly;2352;22697;rectangular finally;huzzah brr amidst;winding will;23345;1301;2024-07-25;32427;growing yet thump;21346;when;12069;18257;15739;885;15666;tour apology;forenenst;foolish indeed immaterial;traditionalism vaguely sans;25162;882
3;18081;artistic likable;30197;23211;woot;pfft;which ah;3003;20510;2024-07-24;16336;though;21049;moai which duh;278;20438;29180;20290;609;bah oh attraction;blindly crown;recrudesce haven;stingy whoa evil;1749;29313
4;25887;meanwhile beanstalk;12664;16169;enmesh;pace;although;22686;14264;2024-07-24;29550;indemnify;12737;along;3896;22582;22358;22038;13838;optimistically between;so;kindheartedly timber;kindheartedly;29190;13406
5;17290;knowingly;27960;31974;beneath mastication;pish;ick;483;32278;2024-07-25;4511;generous and that;16648;excitedly;4540;5850;2124;31558;27788;deposit third;beneath;oval vivaciously that;closet;8024;31890
6;28213;house since woot;7404;32080;cloud drat anti;given;yet clueless guidance;5120;12393;2024-07-24;30064;knavishly;3474;hungrily blindly;12996;23481;28540;11477;32106;site;frozen circa;circular doubtfully;clumsy;19331;5135
7;19907;fooey;3161;30748;lest dandelion ugh;yum humongous at;wherever overdue;4581;18742;2024-07-25;373;white gadzooks;31022;guess;13247;9447;23385;4774;10264;since overstep;between tight fickle;redeploy;for phooey;29670;11232
8;30473;the;12520;26616;yahoo;supposing curry diphthongize;ornery glide;31454;20580;2024-07-24;26006;vice and um;21225;bare even;5589;2748;8545;10270;31106;rent;incidentally soulful nettle;after willfully supposing;iridescence oof through;29905;18099
9;289;phooey preload;31956;3888;uneven and;euthanise;poster nicely;9092;13602;2024-07-25;19145;psst gobbler;28360;side playfully;22084;24910;2707;31687;26400;zowie regarding;faint spiffy unethically;offbeat;flytrap emend;30721;32299
10;22523;from excluding corny;18120;24830;open beneath;since exactly healthily;onto which;12636;4790;2024-07-24;28120;yum ignite;25384;deep;11380;17866;9886;19971;29220;atop;worth junior;second ew;after striking portly;19512;17594
