id;ngay_lap_hd;nguoi_lap_hd;trang_thai;id_loai_hd;id_don_vi;ngay_thao_tac;nguoi_thao_tac;src_hop_dong;so_cong_chung;cong_chung_vien;so_tien_rut_trich;hd_thu_cong;trang_thai_rut_trich;chu_ky_ngoai_tru_so;str_search;ngay_text;ngay_rut_trich_text;ngay_thao_tac_rut_trich;thu_lao_cong_chung;quyen_lai_st;so_lai_st;quyen_lai_tl;so_lai_tl;src_ky_so_pdf;src_ky_so_pdf_signed
1;2024-07-24;6413;15015;30765;6227;2024-07-24;29606;ritualize as;squash uh-huh congressman;11313;31042;13206;3819;21222;winner;annually uh-huh;blink nuke;2024-07-25;26203;eek trek;intensely;pattypan;caper however;sticky knowledgeably;upliftingly er unlike
2;2024-07-24;17582;15675;5323;20366;2024-07-25;10768;with;below diaper;11363;3711;19804;14799;12867;zowie;mutilate stabilise;shield relent;2024-07-25;15383;politicize;lye;plaintive toward;till;viscose including hm;selfishly
3;2024-07-24;28200;30360;6114;15751;2024-07-25;11220;freely dismal palatable;intention until sympathetically;7059;18259;19414;17107;13174;where midst;deeply till;sweetly qua wine;2024-07-25;7881;pro;jagged;yuck wildly barracks;bleakly;woot;over bitterly
4;2024-07-25;10057;16881;15864;14841;2024-07-25;22849;than pish major-league;surprisingly pish;16825;9405;22209;31146;6556;bah robust at;ugh;where redden;2024-07-24;15627;jovially ouch;overshadow;spray woeful incidentally;cheery anti besides;pro skating question;gracefully yearly
5;2024-07-24;20712;4217;23654;3277;2024-07-24;4201;popular beautifully that;powerfully kinase average;28380;2406;14834;16219;9306;though;nice solid;compass panhandle;2024-07-24;19651;and augment;humiliating far;jury excluding;quizzical;whoa fibrosis afore;oof whoever
6;2024-07-24;12173;105;28351;5149;2024-07-24;27653;tangible;prioritise;1772;28566;8443;27481;20707;usually blazon;frozen who curiously;porter how;2024-07-24;1100;inheritance;breeze ah;improvement demanding circa;imperturbable offensively;playfully separately;madly
7;2024-07-24;16826;30769;2123;11194;2024-07-24;10674;long-term meanwhile indeed;offensively lovingly;2233;12334;17496;31189;10241;cruelly rudely blah;humming vice;aw oh;2024-07-25;5941;joyfully upwardly longingly;without badly litigate;rouge finally astride;mockingly yurt;along;where which
8;2024-07-25;9128;31261;32076;5811;2024-07-24;4309;given;only;13928;16324;23700;12837;24675;between;yet spectacular;sharp quirkily bah;2024-07-24;31279;likewise into;photosynthesise;besides er;while till;loose boo when;celebrated knee
9;2024-07-25;31521;28890;5795;9457;2024-07-25;2962;back;diving aha;28664;32253;7428;311;19952;frightfully tutor dandelion;so;zowie;2024-07-24;11015;oof nuzzle wisely;suspect severe clef;because;slur ferociously;qua rewind past;once
10;2024-07-24;3134;3740;13616;22062;2024-07-24;10637;lord between optimistically;cozy gah knottily;13736;29564;27231;16256;28548;recklessly vacantly;inasmuch into flimsy;caramel behind for;2024-07-25;2901;huzzah;woozy intelligent;needily;gosh;apud safely;er oh month
