id;ngay_thao_tac;id_so;id_don_vi;ten_so;gia_tri;nguoi_thao_tac;trang_thai;id_loai_so
1;2024-07-24;5322;20736;beyond er;2026;15176;20023;8002
2;2024-07-24;5836;424;citrus mortified;10475;12189;18033;24729
3;2024-07-24;29424;24353;tale over unlike;31834;877;9278;29283
4;2024-07-25;6034;28426;impartial until;29160;28599;19604;53
5;2024-07-25;26260;3687;idolized who round;10819;25296;32605;11426
6;2024-07-25;22170;16792;concerning arid unethically;10945;1083;30561;18365
7;2024-07-24;18403;6011;ack vibrant;26627;2674;21717;11431
8;2024-07-24;15206;28599;matter execution oof;13780;28269;20316;29279
9;2024-07-24;15952;3823;suddenly walrus;13741;23800;11908;27525
10;2024-07-24;13712;32108;pronunciation;26716;22679;31422;21109
