id;ngay_lap_hd;nguoi_lap_hd;thong_tin_van_ban;trang_thai;id_loai_hd;dieu_khoan_hd;id_don_vi;ngay_thao_tac;nguoi_thao_tac;id_hd_goc;ma_hop_dong;src_hop_dong;ngay_hen;so_cong_chung;cong_chung_vien;ngay_ky_hd;nguoi_rut_trich;so_tien_rut_trich;ngay_rut_trich;hd_thu_cong;trang_thai_rut_trich;chu_ky_ngoai_tru_so;str_search;id_master;id_hd_sd_hb;src_dm_master;rep_ref_unique;ngay_text;thong_tin_chung;thong_tin_chung_clob
1;2024-07-25;21340;oh;31156;28809;indeed;2172;2024-07-24;13722;12219;anenst rim oh;minus whispered good;2024-07-25;8225;25677;2024-07-24;26877;462;2024-07-24;13184;6432;18771;boysenberry indeed;5016;17970;blabber;12114;where;filing pentagon;heir
2;2024-07-25;14776;wee frankly;26994;2514;whoever pish;9179;2024-07-25;19411;2396;hmph;yowza phew against;2024-07-25;13357;6055;2024-07-25;18539;6847;2024-07-25;10654;31941;9912;sod transparency lazy;17077;20149;but caliber;16555;though failing;expensive those gosh;tone
3;2024-07-24;10309;patch deeply sprinkles;27533;30584;normal egg itchy;25840;2024-07-24;7264;32731;likewise yippee once;astride fast;2024-07-25;4298;15742;2024-07-24;16175;10560;2024-07-25;27786;285;2858;obediently kingdom;24454;9721;afore stylish hmph;5640;brandish marksman throng;mark;terribly
4;2024-07-25;30634;boohoo even;26724;26876;fatally;7847;2024-07-24;27700;29177;yum betake bah;pill;2024-07-25;11971;7942;2024-07-24;28052;14369;2024-07-24;24098;25558;18973;old-fashioned councilor lyocell;29217;15962;ink;7938;alive;gadzooks;procedure but
5;2024-07-25;706;which gently without;13468;17728;sheepishly wriggler creolise;27419;2024-07-24;10166;21999;adventurous judicious hmph;brisk;2024-07-24;15662;14457;2024-07-25;8138;12548;2024-07-24;2549;19376;10222;slow distortion yum;1276;7177;brr till;19748;joint hobby base;tall arctic chalet;ketchup ticket
6;2024-07-25;18884;bedazzle rouge;20693;24831;fit hmph;20164;2024-07-24;9822;22538;bah inquisitively smoothly;unethically deodorant near;2024-07-25;26381;2656;2024-07-24;19088;6032;2024-07-25;8899;25656;19244;club mmm dynamo;29584;4677;past faint whoa;27486;excepting alongside headlight;so more;furthermore tired afore
7;2024-07-25;1457;author thoughtfully;22936;23456;perfectly;30985;2024-07-24;28589;1619;in;qua;2024-07-24;2337;31431;2024-07-25;25883;7803;2024-07-24;21231;16480;23325;snarf;19119;26394;yowza;20038;ah relaunch;rescue;um and until
8;2024-07-25;14692;lovingly houseboat;17127;16720;tomorrow;24984;2024-07-24;7372;21181;unlike cheerful astride;bah inside per;2024-07-25;5672;17537;2024-07-25;22179;6405;2024-07-24;5725;7519;28347;mmm turn;15776;4773;volunteer afterwards waddle;30939;whereas intensely;to mmm ack;quaintly
9;2024-07-25;3213;abaft;14769;25524;tricky onto nicely;1112;2024-07-24;27799;862;ick;gee;2024-07-24;24827;26791;2024-07-25;18721;23807;2024-07-24;3915;27722;31833;anger;15981;16471;bitterly egghead;29353;absent reward yet;oily hike vivaciously;salami
10;2024-07-25;13369;beneficial munch;19674;13683;provided among however;32715;2024-07-25;7649;6608;fancy oof;by;2024-07-25;8770;25936;2024-07-24;1620;31169;2024-07-24;9145;9127;16644;chant sup;6690;18698;furthermore lashes;30486;yum;ivory;inasmuch
